Week,Day,OT 1,OT 2,Gospels/Acts/Proverbs,Letters,Psalms
,Thu,Leviticus 11,1 Chronicles 11,Acts 16,,Psalm 44
,Fri,Leviticus 12,1 Chronicles 12,Acts 17,,
,Sat,Leviticus 13,1 Chronicles 13-14,Acts 18,,Psalm 45
16,Sun,,,,,
,Mon,Leviticus 14,1 Chronicles 15-16,Acts 19,Colossians 1,
,Tue,Leviticus 15,1 Chronicles 17,Acts 20,,Psalm 46
,Wed,Leviticus 16,1 Chronicles 18,Acts 21,Colossians 2,
,Thu,Leviticus 17,1 Chronicles 19-20,Acts 22,,Psalm 47
,Fri,Leviticus 18,1 Chronicles 21,Acts 23,Colossians 3,
,Sat,Leviticus 19,1 Chronicles 22,Acts 24,,Psalm 48
17,Sun,,,,,
,Mon,Leviticus 20-21,1 Chronicles 23-24,Acts 25,Colossians 4,
,Tue,Leviticus 22,1 Chronicles 25,Acts 26,,Psalm 49
,Wed,Leviticus 23,1 Chronicles 26,Acts 27,,
,Thu,Leviticus 24,1 Chronicles 27,Acts 28,,Psalm 50
,Fri,Leviticus 25,1 Chronicles 28,,,
,Sat,Leviticus 26-27,1 Chronicles 29,,,Psalm 51
18,Sun,,,,,
,Mon,Numbers 1,2 Chronicles 1,John 1,Ephesians 1,
,Tue,Numbers 2,2 Chronicles 2,John 2,,Psalm 52
,Wed,Numbers 3,2 Chronicles 3-4,John 3,Ephesians 2,
,Thu,Numbers 4,2 Chronicles 5,John 4,,Psalm 53
,Fri,Numbers 5,2 Chronicles 6,John 5,Ephesians 3,
,Sat,Numbers 6,2 Chronicles 7,John 6,,Psalm 54
19,Sun,,,,,
,Mon,Numbers 7,2 Chronicles 8-9,John 7,Ephesians 4,
,Tue,Numbers 8,2 Chronicles 10,John 8,,Psalm 55
,Wed,Numbers 9,2 Chronicles 11,John 9,Ephesians 5,
,Thu,Numbers 10,2 Chronicles 12,John 10,,Psalm 56
,Fri,Numbers 11,2 Chronicles 13,John 11,Ephesians 6,
,Sat,Numbers 12,2 Chronicles 14-16,John 12,,Psalm 57
20,Sun,,,,,
,Mon,Numbers 13-14,2 Chronicles 17-18,John 13,2 Corinthians 1,
,Tue,Numbers 15,2 Chronicles 19,John 14,,Psalm 58
,Wed,Numbers 16,2 Chronicles 20,John 15,2 Corinthians 2,
,Thu,Numbers 17,2 Chronicles 21,John 16,,Psalm 59
,Fri,Numbers 18,2 Chronicles 22,John 17,2 Corinthians 3,
,Sat,Numbers 19,2 Chronicles 23,John 18,,Psalm 60
21,Sun,,,,,
,Mon,Numbers 20-21,2 Chronicles 24,John 19,2 Corinthians 4,
,Tue,Numbers 22,2 Chronicles 25,John 20,,Psalm 61
,Wed,Numbers 23,2 Chronicles 26-27,John 21,2 Corinthians 5,
,Thu,Numbers 24,2 Chronicles 28,,,Psalm 62
,Fri,Numbers 25,2 Chronicles 29,Proverbs 1,2 Corinthians 6,
,Sat,Numbers 26-27,2 Chronicles 30,Proverbs 2,,Psalm 63
22,Sun,,,,,
,Mon,Numbers 28,2 Chronicles 31-32,Proverbs 3,2 Corinthians 7,
,Tue,Numbers 29,2 Chronicles 33,Proverbs 4,,Psalm 64
,Wed,Numbers 30,2 Chronicles 34,Proverbs 5,2 Corinthians 8,
,Thu,Numbers 31,2 Chronicles 35,Proverbs 6,,Psalm 65
,Fri,Numbers 32,2 Chronicles 36,Proverbs 7,2 Corinthians 9,
,Sat,Numbers 33,Isaiah 1,Proverbs 8,,Psalm 66
23,Sun,,,,,
,Mon,Numbers 34-35,Isaiah 2,Proverbs 9,2 Corinthians 10,
,Tue,Numbers 36,Isaiah 3-4,Proverbs 10,,Psalm 67
,Wed,Deuteronomy 1,Isaiah 5,Proverbs 11,2 Corinthians 11,
,Thu,Deuteronomy 2,Isaiah 6,Proverbs 12,,Psalm 68
,Fri,Deuteronomy 3,Isaiah 7,Proverbs 13,2 Corinthians 12,
,Sat,Deuteronomy 4,Isaiah 8-9,Proverbs 14,,Psalm 69
24,Sun,,,,,
,Mon,Deuteronomy 5,Isaiah 10,Proverbs 15,2 Corinthians 13,
,Tue,Deuteronomy 6,Isaiah 11-12,Proverbs 16,,Psalm 70
,Wed,Deuteronomy 7,Isaiah 13,Proverbs 17,,
,Thu,Deuteronomy 8,Isaiah 14,Proverbs 18,,Psalm 71
,Fri,Deuteronomy 9,Isaiah 15-16,Proverbs 19,,
,Sat,Deuteronomy 10-11,Isaiah 17-18,Proverbs 20,,Psalm 72
25,Sun,,,,,
,Mon,Deuteronomy 12,Isaiah 19-21,Proverbs 21,Romans 1,
,Tue,Deuteronomy 13,Isaiah 22,Proverbs 22,,Psalm 73
,Wed,Deuteronomy 14,Isaiah 23,Proverbs 23,Romans 2,
,Thu,Deuteronomy 15,Isaiah 24,Proverbs 24,,Psalm 74
,Fri,Deuteronomy 16,Isaiah 25,Proverbs 25,Romans 3,
,Sat,Deuteronomy 17-18,Isaiah 26-27,Proverbs 26,,Psalm 75
26,Sun,,,,,
,Mon,Deuteronomy 19,Isaiah 28-29,Proverbs 27,Romans 4,
,Tue,Deuteronomy 20,Isaiah 30,Proverbs 28,,Psalm 76
,Wed,Deuteronomy 21,Isaiah 31-32,Proverbs 29,Romans 5,
,Thu,Deuteronomy 22,Isaiah 33,Proverbs 30,,Psalm 77
,Fri,Deuteronomy 23,Isaiah 34-35,Proverbs 31,Romans 6,
,Sat,Deuteronomy 24-25,Isaiah 36-37,,,Psalm 78
27,Sun,,,,,
,Mon,Deuteronomy 26,Isaiah 38,Matthew 1,Romans 7,
,Tue,Deuteronomy 27,Isaiah 39,Matthew 2,,Psalm 79
,Wed,Deuteronomy 28,Isaiah 40,Matthew 3,Romans 8,
,Thu,Deuteronomy 29,Isaiah 41,Matthew 4,,Psalm 80
,Fri,Deuteronomy 30,Isaiah 42,Matthew 5,Romans 9,
,Sat,Deuteronomy 31,Isaiah 43,Matthew 6,,Psalm 81
28,Sun,,,,,
,Mon,Deuteronomy 32,Isaiah 44-45,Matthew 7,Romans 10,
,Tue,Deuteronomy 33-34,Isaiah 46-47,Matthew 8,,Psalm 82
,Wed,Joshua 1,Isaiah 48,Matthew 9,Romans 11,
,Thu,Joshua 2,Isaiah 49,Matthew 10,,Psalm 83
,Fri,Joshua 3,Isaiah 50-51,Matthew 11,Romans 12,
,Sat,Joshua 4,Isaiah 52-53,Matthew 12,,Psalm 84
29,Sun,,,,,
,Mon,Joshua 5,Isaiah 54,Matthew 13,Romans 13,
,Tue,Joshua 6,Isaiah 55-56,Matthew 14,,Psalm 85
,Wed,Joshua 7,Isaiah 57,Matthew 15,Romans 14,
,Thu,Joshua 8,Isaiah 58,Matthew 16,,Psalm 86
,Fri,Joshua 9,Isaiah 59,Matthew 17,Romans 15,
,Sat,Joshua 10,Isaiah 60-61,Matthew 18,,Psalm 87
30,Sun,,,,,
,Mon,Joshua 11-12,Isaiah 62,Matthew 19,Romans 16,
,Tue,Joshua 13,Isaiah 63,Matthew 20,,Psalm 88
,Wed,Joshua 14,Isaiah 64,Matthew 21,,
,Thu,Joshua 15,Isaiah 65,Matthew 22,,Psalm 89
,Fri,Joshua 16-17,Isaiah 66,Matthew 23,,
,Sat,Joshua 18-19,,Matthew 24,,Psalm 90
31,Sun,,,,,
,Mon,Joshua 20,Nahum 1,Matthew 25,1 Timothy 1,
,Tue,Joshua 21,Nahum 2,Matthew 26,,Psalm 91
,Wed,Joshua 22,Nahum 3,Matthew 27,1 Timothy 2,
,Thu,Joshua 23,Zephaniah 1,Matthew 28,,Psalm 92
,Fri,Joshua 24,Zephaniah 2,,1 Timothy 3,
,Sat,,Zephaniah 3,,,Psalm 93
32,Sun,,,,,
,Mon,Judges 1,Habakkuk 1,Mark 1,1 Timothy 4,
,Tue,Judges 2,Habakkuk 2,Mark 2,,Psalm 94
,Wed,Judges 3,Habakkuk 3,Mark 3,1 Timothy 5,
,Thu,Judges 4,,Mark 4,,Psalm 95
,Fri,Judges 5,Jeremiah 1,Mark 5,1 Timothy 6,
,Sat,Judges 6,Jeremiah 2,Mark 6,,Psalm 96
33,Sun,,,,,
,Mon,Judges 7-8,Jeremiah 3-4,Mark 7,Titus 1,
,Tue,Judges 9,Jeremiah 5,Mark 8,,Psalm 97
,Wed,Judges 10,Jeremiah 6,Mark 9,Titus 2,
,Thu,Judges 11,Jeremiah 7,Mark 10,,Psalm 98
,Fri,Judges 12,Jeremiah 8-9,Mark 11,Titus 3,
,Sat,Judges 13-14,Jeremiah 10,Mark 12,,Psalm 99
34,Sun,,,,,
,Mon,Judges 15,Jeremiah 11,Mark 13,1 Peter 1,
,Tue,Judges 16,Jeremiah 12,Mark 14,,Psalm 100
,Wed,Judges 17,Jeremiah 13,Mark 15,1 Peter 2,
,Thu,Judges 18,Jeremiah 14,Mark 16,,Psalm 101
,Fri,Judges 19,Jeremiah 15,,1 Peter 3,
,Sat,Judges 20-21,Jeremiah 16,,,Psalm 102
35,Sun,,,,,
,Mon,Ruth 1,Jeremiah 17-18,Luke 1,1 Peter 4,
,Tue,Ruth 2,Jeremiah 19,Luke 2,,Psalm 103
,Wed,Ruth 3,Jeremiah 20,Luke 3,1 Peter 5,
,Thu,Ruth 4,Jeremiah 21,Luke 4,,Psalm 104
,Fri,1 Samuel 1,Jeremiah 22,Luke 5,2 Timothy 1,
,Sat,1 Samuel 2,Jeremiah 23,Luke 6,,Psalm 105
36,Sun,,,,,
,Mon,1 Samuel 3,Jeremiah 24-25,Luke 7,2 Timothy 2,
,Tue,1 Samuel 4,Jeremiah 26,Luke 8,,Psalm 106
,Wed,1 Samuel 5,Jeremiah 27,Luke 9,2 Timothy 3,
,Thu,1 Samuel 6,Jeremiah 28,Luke 10,,Psalm 107
,Fri,1 Samuel 7,Jeremiah 29,Luke 11,2 Timothy 4,
,Sat,1 Samuel 8,Jeremiah 30-31,Luke 12,,Psalm 108
37,Sun,,,,,
,Mon,1 Samuel 9,Jeremiah 32,Luke 13,2 Peter 1,
,Tue,1 Samuel 10,Jeremiah 33,Luke 14,,Psalm 109
,Wed,1 Samuel 11,Jeremiah 34,Luke 15,2 Peter 2,
,Thu,1 Samuel 12,Jeremiah 35,Luke 16,,Psalm 110
,Fri,1 Samuel 13,Jeremiah 36,Luke 17,2 Peter 3,
,Sat,1 Samuel 14,Jeremiah 37,Luke 18,,Psalm 111
38,Sun,,,,,
,Mon,1 Samuel 15-16,Jeremiah 38-39,Luke 19,Jude 1,
,Tue,1 Samuel 17,Jeremiah 40,Luke 20,,Psalm 112
,Wed,1 Samuel 18,Jeremiah 41,Luke 21,Hebrews 1,
,Thu,1 Samuel 19,Jeremiah 42,Luke 22,,Psalm 113
,Fri,1 Samuel 20,Jeremiah 43,Luke 23,Hebrews 2,
,Sat,1 Samuel 21-22,Jeremiah 44-45,Luke 24,,Psalm 114
39,Sun,,,,,
,Mon,1 Samuel 23,Jeremiah 46,Acts 1,Hebrews 3,
,Tue,1 Samuel 24,Jeremiah 47,Acts 2,,Psalm 115
,Wed,1 Samuel 25,Jeremiah 48,Acts 3,Hebrews 4,
,Thu,1 Samuel 26,Jeremiah 49,Acts 4,,Psalm 116
,Fri,1 Samuel 27,Jeremiah 50,Acts 5,Hebrews 5,
,Sat,1 Samuel 28,Jeremiah 51,Acts 6,,Psalm 117
40,Sun,,,,,
,Mon,1 Samuel 29-31,Jeremiah 52,Acts 7,Hebrews 6,
,Tue,2 Samuel 1-2,Lamentations 1,Acts 8,,Psalm 118
,Wed,2 Samuel 3-4,Lamentations 2,Acts 9,Hebrews 7,
,Thu,2 Samuel 5,Lamentations 3,Acts 10,,Psalm 119
,Fri,2 Samuel 6,Lamentations 4,Acts 11,Hebrews 8,
,Sat,2 Samuel 7-8,Lamentations 5,Acts 12,,Psalm 119
41,Sun,,,,,
,Mon,2 Samuel 9-10,Obadiah 1,Acts 13,Hebrews 9,
,Tue,2 Samuel 11-12,Daniel 1,Acts 14,,Psalm 119
